"id","interviewdate","comscore_raw","comscore","pop_groups","Quintile","type","lat","lon","living_conditions_score","living_conditions_category"
1,"2024-01-30",0.0807588668161464,57.9153385983074,"Refugee returnees","Richest","rms",9.1996991,28.5922909,0,"Poor"
2,"2024-01-30",0.0493826774028579,44.7494313084115,"IDPs","Richest","rms",9.20195,28.5930066,3,"Good"
3,"2024-01-31",0.0614259668754848,49.8029714491027,"IDPs","Richest","rms",9.1023655,28.5558338,3,"Good"
4,"2024-01-31",0.0696629974452017,53.2593497682303,"IDPs","Richest","rms",9.0984426,28.5594748,2,"Good"
5,"2024-01-31",0.122474835316836,75.4199681935025,"IDPs","Richest","rms",9.0985761,28.559548,3,"Good"
6,"2024-01-31",0.0731357924992643,54.7165852889731,"IDPs","Richest","rms",9.1024122,28.555804,2,"Good"
7,"2024-01-30",0.114237804747119,71.9635898743749,"Refugee returnees","Richest","rms",9.1996917,28.592331,4,"Good"
8,"2024-01-30",0.0614259668754848,49.8029714491027,"Refugee returnees","Richest","rms",9.1996343,28.5921684,3,"Good"
9,"2024-01-30",0.0451592087270762,42.9772021732963,"IDPs","Richest","rms",9.2017943,28.5931041,3,"Good"
10,"2024-01-31",0.114237804747119,71.9635898743749,"IDPs","Richest","rms",9.0984358,28.5593991,4,"Good"
11,"2024-01-31",0.0576197079725749,48.2058096275391,"IDPs","Richest","rms",9.1024319,28.5556461,2,"Good"
12,"2024-01-31",0.0614259668754848,49.8029714491027,"IDPs","Richest","rms",9.1024214,28.5557302,3,"Good"
13,"2024-01-31",0.0696629974452017,53.2593497682303,"IDPs","Richest","rms",9.1023368,28.5558076,2,"Good"
14,"2024-02-01",0.0576197079725749,48.2058096275391,"IDPs","Richest","rms",9.102651,28.5558867,2,"Good"
15,"2024-02-01",0.0576197079725749,48.2058096275391,"IDPs","Richest","rms",9.1024376,28.5557712,2,"Good"
16,"2024-02-01",0.0576197079725749,48.2058096275391,"IDPs","Richest","rms",9.1024826,28.5559946,2,"Good"
17,"2024-02-01",0.0493826774028579,44.7494313084115,"IDPs","Richest","rms",9.1023606,28.5558523,3,"Good"
18,"2024-02-01",0.0493826774028579,44.7494313084115,"IDPs","Richest","rms",9.1024333,28.5558156,3,"Good"
19,"2024-02-09",-0.0162678972610634,17.2014914305528,"Refugee returnees","Middle","rms",9.1317309,26.9877225,0,"Poor"
20,"2024-02-09",-0.0118122143447829,19.0711610521952,"IDPs","Middle","rms",9.1316622,26.9876965,0,"Poor"
21,"2024-02-09",0.0524098747049561,46.0196875050027,"Refugee returnees","Richest","rms",9.1316662,26.9876471,0,"Poor"
22,"2024-02-09",0.0361272440647946,39.1872578998578,"Refugee returnees","Richest","rms",8.7128389,27.2863832,1,"Poor"
24,"2024-02-09",-0.045945965801364,4.7481404580065,"Refugee returnees","Poorest","rms",9.1315869,26.9877882,1,"Poor"
36,"2024-02-09",-0.0193866354635203,15.8928233353248,"Refugee returnees","Second","rms",9.225948,26.8450668,2,"Good"
38,"2024-02-12",-0.0193866354635203,15.8928233353248,"IDPs","Second","rms",9.2257388,26.8454506,2,"Good"
39,"2024-02-09",-0.0307008268966509,11.1452233796194,"Refugee returnees","Second","rms",9.2257135,26.8452592,2,"Good"
56,"2024-02-09",-0.00786065009696873,20.7292951184931,"IDPs","Middle","rms",9.1316231,26.9876909,0,"Poor"
63,"2024-02-09",-0.0490244147569847,3.45637831912761,"IDPs","Poorest","rms",9.1317901,26.9876542,1,"Poor"
