"ID","start","end","Intro_camp_label","pop_groups","X_Final_04_longitude","X_Final_04_latitude","drinking_water_source","drinking_water_location","electicity_or_light_source_most_used","main_toilet_facility","cooking_at_hh_level","hh_cooking_source","hh_cooking_fuel","land_ownership","landownership_legal_docs","Improved_dw","Improved_dw_final","electricity","shared_san_facility","Improved_san","crowding_cat","Clean_cookingfuel","time_to_access_water_min","number_of_hhmembers","lat","lon","interviewdate","id","living_conditions_score","living_conditions_category"
2,"2023-07-21","2023-07-21","Yusuf Batil","refugee",33.5742779,9.973507,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Moveable firepan","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,0,1,1,0,1800,12,9.973507,33.5742779,"2023-07-21",2,3,"Good"
3,"2023-05-22","2023-05-22","Doro","host community member",33.7335298,9.9654248,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Build stove with bricks and/or mud","Coal/lignite unprocessed","Respondent or another HH member","Yes",1,0,0,0,0,1,0,301,7,9.9654248,33.7335298,"2023-05-22",3,2,"Good"
4,"2023-07-26","2023-07-26","Doro","host community member",33.7362531,9.9655209,"Tube Well/Borehole","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Charcoal unprocessed","Respondent or another HH member","Yes",1,0,0,1,1,1,0,40,17,9.9655209,33.7362531,"2023-07-26",4,3,"Good"
5,"2023-05-29","2023-05-29","Yida","host community member",29.7890479,9.9969399,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,1,0,60,12,9.9969399,29.7890479,"2023-05-29",5,2,"Good"
6,"2023-05-12","2023-05-12","Yusuf Batil","host community member",33.5365622,9.7531637,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,0,0,0,1298,10,9.7531637,33.5365622,"2023-05-12",6,1,"Poor"
7,"2023-06-10","2023-06-10","Kaya","refugee",33.5914073,10.108081,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,0,0,59882,1,10.108081,33.5914073,"2023-06-10",7,1,"Poor"
8,"2023-08-09","2023-08-09","Pamir","refugee",30.3586624,9.9109479,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","No appliances in the household","Build stove with bricks and/or mud","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","No",1,0,0,0,1,0,0,1058,7,9.9109479,30.3586624,"2023-08-09",8,2,"Good"
9,"2023-06-02","2023-06-02","Ajuong Thok","refugee",30.2751592,9.960962,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","No appliances in the household","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","Yes",1,0,0,0,0,1,0,1058,10,9.960962,30.2751592,"2023-06-02",9,2,"Good"
10,"2023-05-04","2023-05-04","Doro","host community member",33.7778505,9.9621722,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,1,0,0,0,0,0,2,2,9.9621722,33.7778505,"2023-05-04",10,2,"Good"
11,"2023-07-24","2023-07-24","Pamir","refugee",30.3457792,9.9035279,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,0,1,0,3,4,9.9035279,30.3457792,"2023-07-24",11,3,"Good"
12,"2023-07-26","2023-07-26","Doro","refugee",33.7737088,10.0083689,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Woodchips","Unrelated Person","No",1,1,0,0,0,0,0,0,5,10.0083689,33.7737088,"2023-07-26",12,2,"Good"
13,"2023-07-05","2023-07-05","Yusuf Batil","refugee",33.5740251,9.9703168,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,1,0,0,9,9.9703168,33.5740251,"2023-07-05",13,4,"Good"
14,"2023-07-20","2023-07-20","Pamir","refugee",30.3522813,9.901481,"Public Tap/Standpipe","Elsewhere","No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,1,1,0,60,7,9.901481,30.3522813,"2023-07-20",14,3,"Good"
15,"2023-05-23","2023-05-23","Yida","host community member",29.9917792,9.9198435,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Manufactured solid fuel stove","Charcoal unprocessed","Respondent or another HH member","Yes",1,1,0,0,0,1,0,20,4,9.9198435,29.9917792,"2023-05-23",15,3,"Good"
16,"2023-08-23","2023-08-23","Yusuf Batil","refugee",33.5795633,9.9703748,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,1,0,0,7,9.9703748,33.5795633,"2023-08-23",16,4,"Good"
17,"2023-07-21","2023-07-21","Doro","host community member",33.8238437,9.9738155,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,0,0,0,60,2,9.9738155,33.8238437,"2023-07-21",17,1,"Poor"
