"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source","living_conditions_score","living_conditions_category"
2,"2023-07-21","refugee",9.973507,33.5742779,34.415207525651,"Richest","fds",3,"Good"
3,"2023-05-22","host community member",9.9654248,33.7335298,28.125707999099,"Fourth","fds",2,"Good"
4,"2023-07-26","host community member",9.9655209,33.7362531,41.7713350564285,"Richest","fds",3,"Good"
5,"2023-05-29","host community member",9.9969399,29.7890479,5.04197449598764,"Poorest","fds",2,"Good"
6,"2023-05-12","host community member",9.7531637,33.5365622,2.59681684356703,"Poorest","fds",1,"Poor"
7,"2023-06-10","refugee",10.108081,33.5914073,10.6592486598544,"Second","fds",1,"Poor"
8,"2023-08-09","refugee",9.9109479,30.3586624,42.8986194141601,"Richest","fds",2,"Good"
9,"2023-06-02","refugee",9.960962,30.2751592,24.496435679374,"Fourth","fds",2,"Good"
10,"2023-05-04","host community member",9.9621722,33.7778505,9.10086257059171,"Second","fds",2,"Good"
11,"2023-07-24","refugee",9.9035279,30.3457792,6.34677909107006,"Poorest","fds",3,"Good"
12,"2023-07-26","refugee",10.0083689,33.7737088,24.264458266657,"Fourth","fds",2,"Good"
13,"2023-07-05","refugee",9.9703168,33.5740251,21.6721163136595,"Middle","fds",4,"Good"
14,"2023-07-20","refugee",9.901481,30.3522813,8.29128767385792,"Second","fds",3,"Good"
15,"2023-05-23","host community member",9.9198435,29.9917792,42.3181195267884,"Richest","fds",3,"Good"
16,"2023-08-23","refugee",9.9703748,33.5795633,21.6721163136595,"Middle","fds",4,"Good"
17,"2023-07-21","host community member",9.9738155,33.8238437,7.63879133955467,"Poorest","fds",1,"Poor"
18,"2023-07-18","host community member",9.9634098,33.7421574,0.772161084201544,"Poorest","fds",2,"Good"
19,"2023-05-19","refugee",4.7519733,28.6985708,29.5932463106936,"Fourth","fds",2,"Good"
20,"2023-07-01","refugee",9.9675822,33.5674683,34.8582101917583,"Richest","fds",2,"Good"
21,"2023-09-04","refugee",4.9539636,27.7236718,26.8390956825287,"Fourth","fds",1,"Poor"
22,"2023-07-08","host community member",10.2764013,29.9984321,15.2941004089266,"Middle","fds",0,"Poor"
23,"2023-07-24","refugee",9.9023898,30.3463953,10.1159434332234,"Second","fds",2,"Good"
24,"2023-05-30","host community member",9.9443302,33.5121095,4.11254677583147,"Poorest","fds",2,"Good"
25,"2023-05-30","refugee",9.9633895,30.2833937,14.0087090038856,"Second","fds",3,"Good"
26,"2023-06-26","host community member",9.9142175,29.976502,9.86483710331483,"Second","fds",2,"Good"
27,"2023-04-20","refugee",4.7591642,31.4447596,18.2152413659014,"Middle","fds",3,"Good"
28,"2023-09-06","refugee",9.9140192,30.3445703,7.1743653791462,"Poorest","fds",3,"Good"
29,"2023-06-15","refugee",10.1043691,33.5868995,15.0926119079389,"Middle","fds",3,"Good"
30,"2023-05-10","refugee",9.967283,30.2749202,17.3268442231775,"Middle","fds",4,"Good"
31,"2023-06-22","refugee",10.1107822,33.5929638,38.8767348231243,"Richest","fds",3,"Good"
32,"2023-07-29","refugee",9.9923352,33.7605091,5.93720253519696,"Poorest","fds",1,"Poor"
33,"2023-08-29","refugee",9.9136508,30.3529427,10.4610923695487,"Second","fds",3,"Good"
34,"2023-08-21","refugee",9.9570334,33.5723347,16.9172676673044,"Middle","fds",2,"Good"
35,"2023-07-07","refugee",9.9650881,33.5722335,31.7835848563134,"Fourth","fds",3,"Good"
36,"2023-07-15","refugee",9.9716243,33.5807318,34.8582101917583,"Richest","fds",2,"Good"
38,"2023-08-24","refugee",9.9119082,30.3598697,15.2587344118808,"Middle","fds",2,"Good"
39,"2023-09-29","host community member",9.9193018,29.9772344,1.82465575936548,"Poorest","fds",1,"Poor"
40,"2023-06-26","host community member",9.909937,30.0054811,5.04197449598764,"Poorest","fds",2,"Good"
