"start","end","interviewdate","pop_groups","X_geopoint_longitude","X_geopoint_latitude","id","drinking_water_source","drinking_water_location","electicity_or_light_source_most_used","main_toilet_facility","cooking_at_hh_level","hh_cooking_source","hh_cooking_fuel","land_ownership","landownership_legal_docs","Improved_dw","Improved_dw_final","electricity","shared_san_facility","Improved_san","crowding_cat","Clean_cookingfuel","time_to_access_water_min","hh_size_001","lat","lon","living_conditions_score","living_conditions_category"
2024-01-30,2024-01-30,2024-01-30,"Refugee returnees",28.5922909,9.1996991,1,"Protected Spring","In Own Yard/Plot","No electricity in household","Composting toilet","No","0","0","Government Agency Or Municipality","No",0,0,0,0,0,0,0,0,4,9.1996991,28.5922909,0,"Poor"
2024-01-30,2024-01-30,2024-01-30,"IDPs",28.5930066,9.20195,2,"Tanker Truck/Water Vendor","In Own Yard/Plot","No electricity in household","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,1,0,0,5,9.20195,28.5930066,3,"Good"
2024-01-31,2024-01-31,2024-01-31,"IDPs",28.5558338,9.1023655,3,"Tanker Truck/Water Vendor","In Own Yard/Plot","Don't know","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,1,0,0,4,9.1023655,28.5558338,3,"Good"
2024-01-31,2024-01-31,2024-01-31,"IDPs",28.5594748,9.0984426,4,"Tanker Truck/Water Vendor","In Own Yard/Plot","Don't know","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,0,0,0,5,9.0984426,28.5594748,2,"Good"
2024-01-31,2024-01-31,2024-01-31,"IDPs",28.559548,9.0985761,5,"Tanker Truck/Water Vendor","In Own Yard/Plot","National grid connection from [COMPANY]","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,1,0,0,0,0,0,4,9.0985761,28.559548,3,"Good"
2024-01-31,2024-01-31,2024-01-31,"IDPs",28.555804,9.1024122,6,"Tanker Truck/Water Vendor","In Own Yard/Plot","Don't know","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,1,0,0,0,0,6,9.1024122,28.555804,2,"Good"
2024-01-30,2024-01-30,2024-01-30,"Refugee returnees",28.592331,9.1996917,7,"Tanker Truck/Water Vendor","In Own Yard/Plot","National grid connection from [COMPANY]","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,1,0,0,1,0,0,6,9.1996917,28.592331,4,"Good"
2024-01-30,2024-01-30,2024-01-30,"Refugee returnees",28.5921684,9.1996343,8,"Tanker Truck/Water Vendor","In Own Yard/Plot","Don't know","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,1,0,0,4,9.1996343,28.5921684,3,"Good"
2024-01-30,2024-01-30,2024-01-30,"IDPs",28.5931041,9.2017943,9,"Surface Water (River, Stream, Pond, Dam, Canal)","In Own Yard/Plot","Don't know","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,1,0,0,8,9.2017943,28.5931041,3,"Good"
2024-01-31,2024-01-31,2024-01-31,"IDPs",28.5593991,9.0984358,10,"Tanker Truck/Water Vendor","In Own Yard/Plot","National grid connection from [COMPANY]","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,1,0,0,1,0,0,7,9.0984358,28.5593991,4,"Good"
2024-01-31,2024-01-31,2024-01-31,"IDPs",28.5556461,9.1024319,11,"Tanker Truck/Water Vendor","In Own Yard/Plot","No electricity in household","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,0,0,0,6,9.1024319,28.5556461,2,"Good"
2024-01-31,2024-01-31,2024-01-31,"IDPs",28.5557302,9.1024214,12,"Tanker Truck/Water Vendor","In Own Yard/Plot","Don't know","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,1,0,0,4,9.1024214,28.5557302,3,"Good"
2024-01-31,2024-01-31,2024-01-31,"IDPs",28.5558076,9.1023368,13,"Tanker Truck/Water Vendor","In Own Yard/Plot","Don't know","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,0,0,0,5,9.1023368,28.5558076,2,"Good"
2024-02-01,2024-02-01,2024-02-01,"IDPs",28.5558867,9.102651,14,"Tanker Truck/Water Vendor","In Own Yard/Plot","No electricity in household","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,0,0,0,5,9.102651,28.5558867,2,"Good"
2024-02-01,2024-02-01,2024-02-01,"IDPs",28.5557712,9.1024376,15,"Tanker Truck/Water Vendor","In Own Yard/Plot","No electricity in household","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,0,0,0,6,9.1024376,28.5557712,2,"Good"
2024-02-01,2024-02-01,2024-02-01,"IDPs",28.5559946,9.1024826,16,"Tanker Truck/Water Vendor","In Own Yard/Plot","No electricity in household","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,0,0,0,6,9.1024826,28.5559946,2,"Good"
2024-02-01,2024-02-01,2024-02-01,"IDPs",28.5558523,9.1023606,17,"Tanker Truck/Water Vendor","In Own Yard/Plot","No electricity in household","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,1,0,0,4,9.1023606,28.5558523,3,"Good"
2024-02-01,2024-02-01,2024-02-01,"IDPs",28.5558156,9.1024333,18,"Tanker Truck/Water Vendor","In Own Yard/Plot","No electricity in household","Composting toilet","No","0","0","Government Agency Or Municipality","No",1,1,0,0,0,1,0,0,7,9.1024333,28.5558156,3,"Good"
2024-01-16,2024-02-09,2024-02-09,"Refugee returnees",26.9877225,9.1317309,19,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",0,0,0,1,0,0,0,98,3,9.1317309,26.9877225,0,"Poor"
2024-01-16,2024-02-09,2024-02-09,"IDPs",26.9876965,9.1316622,20,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","No",0,0,0,1,0,0,0,98,4,9.1316622,26.9876965,0,"Poor"
2024-01-16,2024-02-09,2024-02-09,"Refugee returnees",26.9876471,9.1316662,21,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Kerosene/paraffin","Unrelated Person","No",0,0,0,1,0,0,0,98,2,9.1316662,26.9876471,0,"Poor"
2024-01-16,2024-02-09,2024-02-09,"Refugee returnees",27.2863832,8.7128389,22,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Other, specify","Friend Or Relative","No",0,0,0,1,0,1,0,30,8,8.7128389,27.2863832,1,"Poor"
2024-01-16,2024-02-09,2024-02-09,"Refugee returnees",26.9877882,9.1315869,24,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",0,0,0,0,1,0,0,98,3,9.1315869,26.9877882,1,"Poor"
2024-01-18,2024-02-09,2024-02-09,"Refugee returnees",26.987789,9.1317217,34,"0","NA",NA,"0","0","0","0","NA","NA",0,0,0,0,0,0,0,0,NA,9.1317217,26.987789,0,"Poor"
2024-01-18,2024-02-09,2024-02-09,"Refugee returnees",26.8450668,9.225948,36,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Foreign Government","No",0,0,0,0,1,1,0,98,8,9.225948,26.8450668,2,"Good"
2024-01-18,2024-02-12,2024-02-12,"IDPs",26.8454506,9.2257388,38,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Foreign Government","No",0,0,0,0,1,1,0,98,4,9.2257388,26.8454506,2,"Good"
2024-01-18,2024-02-09,2024-02-09,"Refugee returnees",26.8452592,9.2257135,39,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Traditional solid fuel stove (non-manufactured)","Wood","Government Agency Or Municipality","No",0,0,0,0,1,1,0,98,6,9.2257135,26.8452592,2,"Good"
2024-01-19,2024-02-09,2024-02-09,"IDPs",26.9877048,9.1317771,41,"0","NA",NA,"0","0","0","0","NA","NA",0,0,0,0,0,0,0,0,NA,9.1317771,26.9877048,0,"Poor"
2024-01-18,2024-02-09,2024-02-09,"IDPs",26.9876909,9.1316231,56,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","NGO/Non-Religious Charity","No",0,0,0,1,0,0,0,98,4,9.1316231,26.9876909,0,"Poor"
2024-01-18,2024-02-09,2024-02-09,"IDPs",26.9876938,9.1316511,58,"0","NA",NA,"0","0","0","0","NA","NA",0,0,0,0,0,0,0,0,NA,9.1316511,26.9876938,0,"Poor"
2024-01-19,2024-02-09,2024-02-09,"IDPs",26.9876542,9.1317901,63,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,98,3,9.1317901,26.9876542,1,"Poor"
2024-01-19,2024-02-09,2024-02-09,"Refugee returnees",26.8455661,9.2258316,68,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Government Agency Or Municipality","No",0,0,0,0,1,0,0,98,6,9.2258316,26.8455661,1,"Poor"
2024-01-19,2024-02-09,2024-02-09,"Refugee returnees",26.8454332,9.2259394,71,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Friend Or Relative","No",0,0,0,1,0,0,0,98,4,9.2259394,26.8454332,0,"Poor"
2024-01-19,2024-02-09,2024-02-09,"Refugee returnees",26.8453625,9.2258434,75,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",0,0,0,0,1,0,0,0,2,9.2258434,26.8453625,1,"Poor"
2024-01-19,2024-02-09,2024-02-09,"Refugee returnees",28.5578377,9.105174,140,"0","NA",NA,"0","0","0","0","NA","NA",0,0,0,0,0,0,0,0,NA,9.105174,28.5578377,0,"Poor"
2024-01-24,2024-02-09,2024-02-09,"IDPs",26.987487,9.1316137,141,"0","NA",NA,"0","0","0","0","NA","NA",0,0,0,0,0,0,0,0,NA,9.1316137,26.987487,0,"Poor"
2024-01-24,2024-02-09,2024-02-09,"IDPs",26.9876675,9.1317345,153,"0","NA",NA,"0","0","0","0","NA","NA",0,0,0,0,0,0,0,0,NA,9.1317345,26.9876675,0,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6234024,9.5923677,165,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","No","0","0","Government Agency Or Municipality","No",0,0,0,1,0,0,0,0,3,9.5923677,29.6234024,0,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6239141,9.5926455,166,"Piped Into Yard/Plot","NA","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","NGO/Non-Religious Charity","No",0,0,0,0,1,1,0,0,4,9.5926455,29.6239141,2,"Good"
2023-12-15,2023-12-15,2023-12-15,"IDPs",29.6251216,9.5820678,167,"Public Tap/Standpipe","In Own Yard/Plot","Dry cell battery / torch","Pit latrine with slab","Yes","Three stone stove/open fire","Woodchips","Government Agency Or Municipality","No",0,0,0,1,0,0,0,0,5,9.5820678,29.6251216,0,"Poor"
2023-12-15,2023-12-15,2023-12-15,"IDPs",29.6249435,9.5824339,168,"Public Tap/Standpipe","In Own Yard/Plot","Dry cell battery / torch","Pit latrine with slab","Yes","Three stone stove/open fire","Woodchips","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,5,9.5824339,29.6249435,1,"Poor"
2023-12-15,2023-12-15,2023-12-15,"Refugee returnees",29.6248107,9.5826446,169,"Public Tap/Standpipe","In Own Yard/Plot","Don't know","Pit latrine with slab","Yes","Three stone stove/open fire","Woodchips","Government Agency Or Municipality","No",0,0,0,1,0,1,0,0,5,9.5826446,29.6248107,1,"Poor"
