"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source"
1,"2024-01-30","Refugee returnees",9.1996991,28.5922909,57.9153385983074,"Richest","rms"
2,"2024-01-30","IDPs",9.20195,28.5930066,44.7494313084115,"Richest","rms"
3,"2024-01-31","IDPs",9.1023655,28.5558338,49.8029714491027,"Richest","rms"
4,"2024-01-31","IDPs",9.0984426,28.5594748,53.2593497682303,"Richest","rms"
5,"2024-01-31","IDPs",9.0985761,28.559548,75.4199681935025,"Richest","rms"
6,"2024-01-31","IDPs",9.1024122,28.555804,54.7165852889731,"Richest","rms"
7,"2024-01-30","Refugee returnees",9.1996917,28.592331,71.9635898743749,"Richest","rms"
8,"2024-01-30","Refugee returnees",9.1996343,28.5921684,49.8029714491027,"Richest","rms"
9,"2024-01-30","IDPs",9.2017943,28.5931041,42.9772021732963,"Richest","rms"
10,"2024-01-31","IDPs",9.0984358,28.5593991,71.9635898743749,"Richest","rms"
11,"2024-01-31","IDPs",9.1024319,28.5556461,48.2058096275391,"Richest","rms"
12,"2024-01-31","IDPs",9.1024214,28.5557302,49.8029714491027,"Richest","rms"
13,"2024-01-31","IDPs",9.1023368,28.5558076,53.2593497682303,"Richest","rms"
14,"2024-02-01","IDPs",9.102651,28.5558867,48.2058096275391,"Richest","rms"
15,"2024-02-01","IDPs",9.1024376,28.5557712,48.2058096275391,"Richest","rms"
16,"2024-02-01","IDPs",9.1024826,28.5559946,48.2058096275391,"Richest","rms"
17,"2024-02-01","IDPs",9.1023606,28.5558523,44.7494313084115,"Richest","rms"
18,"2024-02-01","IDPs",9.1024333,28.5558156,44.7494313084115,"Richest","rms"
19,"2024-02-09","Refugee returnees",9.1317309,26.9877225,17.2014914305528,"Middle","rms"
20,"2024-02-09","IDPs",9.1316622,26.9876965,19.0711610521952,"Middle","rms"
21,"2024-02-09","Refugee returnees",9.1316662,26.9876471,46.0196875050027,"Richest","rms"
22,"2024-02-09","Refugee returnees",8.7128389,27.2863832,39.1872578998578,"Richest","rms"
24,"2024-02-09","Refugee returnees",9.1315869,26.9877882,4.7481404580065,"Poorest","rms"
36,"2024-02-09","Refugee returnees",9.225948,26.8450668,15.8928233353248,"Second","rms"
38,"2024-02-12","IDPs",9.2257388,26.8454506,15.8928233353248,"Second","rms"
39,"2024-02-09","Refugee returnees",9.2257135,26.8452592,11.1452233796194,"Second","rms"
56,"2024-02-09","IDPs",9.1316231,26.9876909,20.7292951184931,"Middle","rms"
63,"2024-02-09","IDPs",9.1317901,26.9876542,3.45637831912761,"Poorest","rms"
68,"2024-02-09","Refugee returnees",9.2258316,26.8455661,3.45637831912761,"Poorest","rms"
71,"2024-02-09","Refugee returnees",9.2259394,26.8454332,15.679568468676,"Second","rms"
75,"2024-02-09","Refugee returnees",9.2258434,26.8453625,4.7481404580065,"Poorest","rms"
165,"2023-12-15","Refugee returnees",9.5923677,29.6234024,36.1527874643266,"Richest","rms"
167,"2023-12-15","IDPs",9.5820678,29.6251216,35.3377083996184,"Richest","rms"
168,"2023-12-15","IDPs",9.5824339,29.6249435,31.8813300804908,"Fourth","rms"
169,"2023-12-15","Refugee returnees",9.5826446,29.6248107,32.8505839317337,"Fourth","rms"
170,"2023-12-15","IDPs",9.5826342,29.6247879,32.8505839317337,"Fourth","rms"
175,"2023-12-15","Refugee returnees",9.5939214,29.6243272,13.7132615886098,"Second","rms"
176,"2023-12-15","Refugee returnees",9.5934405,29.6245791,27.1098558948709,"Fourth","rms"
177,"2023-12-15","Refugee returnees",9.5919803,29.6240608,30.5662342139985,"Fourth","rms"
178,"2023-12-15","Refugee returnees",9.5924348,29.6233575,13.7132615886098,"Second","rms"
179,"2023-12-15","Refugee returnees",9.5923008,29.6234002,27.1098558948709,"Fourth","rms"
180,"2023-12-15","Refugee returnees",9.591909,29.6238269,27.1098558948709,"Fourth","rms"
181,"2023-12-15","Refugee returnees",9.5924646,29.623685,30.5662342139985,"Fourth","rms"
182,"2023-12-15","Refugee returnees",9.5925648,29.623216,30.5662342139985,"Fourth","rms"
183,"2023-12-15","Refugee returnees",9.5922991,29.6234138,11.0423559563397,"Second","rms"
184,"2023-12-15","Refugee returnees",9.5922957,29.6231891,30.5662342139985,"Fourth","rms"
185,"2023-12-15","Refugee returnees",9.5917956,29.6234383,27.8953285817285,"Fourth","rms"
187,"2023-12-15","Refugee returnees",9.5910803,29.6213433,58.2565552248596,"Richest","rms"
189,"2024-01-22","IDPs",9.018576,27.5953281,1.99176393599762,"Poorest","rms"
190,"2024-01-22","Refugee returnees",9.0123986,27.5816844,16.0850333400704,"Second","rms"
235,"2024-01-17","IDPs",9.2184298,28.4032066,46.2956337232975,"Richest","rms"
241,"2024-01-19","IDPs",9.1048163,28.5579042,35.0790436536201,"Richest","rms"
243,"2024-01-18","IDPs",9.2000959,28.5917985,41.2272917987963,"Richest","rms"
244,"2024-01-18","IDPs",9.1999456,28.5915768,47.1386265408084,"Richest","rms"
245,"2024-01-18","IDPs",9.199985,28.5915191,35.0790436536201,"Richest","rms"
246,"2024-01-17","IDPs",9.2177366,28.4036728,31.2391736244562,"Fourth","rms"
247,"2024-01-17","IDPs",9.2177395,28.4036773,31.2391736244562,"Fourth","rms"
248,"2024-01-17","IDPs",9.2179315,28.4035274,32.696409145199,"Fourth","rms"
249,"2024-01-17","IDPs",9.2186684,28.4032016,19.3886124279837,"Middle","rms"
250,"2024-01-17","IDPs",9.2185645,28.40311,26.010802559575,"Fourth","rms"
251,"2024-01-16","IDPs",9.0013266,28.3359757,46.8732460867455,"Richest","rms"
252,"2024-01-16","IDPs",9.000845,28.3361565,33.6701242080556,"Richest","rms"
253,"2024-01-16","IDPs",9.0008026,28.3361657,31.84196340053,"Fourth","rms"
254,"2024-01-16","IDPs",9.0005303,28.3360936,36.6476936445203,"Richest","rms"
258,"2024-01-19","IDPs",9.1050385,28.5576156,3.5668966319157,"Poorest","rms"
259,"2024-01-15","IDPs",9.071625,28.4085551,31.3242348813129,"Fourth","rms"
260,"2024-01-16","IDPs",9.000808,28.336181,13.7983228454665,"Second","rms"
261,"2024-01-17","IDPs",9.2178822,28.4027011,23.1148916616879,"Fourth","rms"
262,"2024-01-17","IDPs",9.2180284,28.4027058,3.16143176052124,"Poorest","rms"
263,"2024-01-17","Refugee returnees",9.2183123,28.4035179,3.16143176052124,"Poorest","rms"
264,"2024-01-17","IDPs",9.2181997,28.4020335,3.16143176052124,"Poorest","rms"
265,"2024-01-17","IDPs",9.2180044,28.4024547,3.16143176052124,"Poorest","rms"
266,"2024-01-18","IDPs",9.2003796,28.5915193,24.8070525917344,"Fourth","rms"
267,"2024-01-20","IDPs",8.9983005,28.334764,3.5668966319157,"Poorest","rms"
268,"2024-01-20","IDPs",8.9981481,28.3349243,3.5668966319157,"Poorest","rms"
269,"2024-01-20","IDPs",8.9976755,28.3346707,3.5668966319157,"Poorest","rms"
270,"2024-01-21","IDPs",8.997884,28.3348024,3.5668966319157,"Poorest","rms"
271,"2024-01-21","IDPs",8.9979897,28.3346484,3.5668966319157,"Poorest","rms"
272,"2024-01-21","IDPs",8.9979619,28.3351745,3.5668966319157,"Poorest","rms"
273,"2024-01-21","IDPs",8.9983658,28.3351154,3.5668966319157,"Poorest","rms"
274,"2024-01-22","IDPs",9.1243869,28.3616928,3.5668966319157,"Poorest","rms"
275,"2024-01-22","IDPs",9.12432,28.3611189,3.5668966319157,"Poorest","rms"
276,"2024-01-22","IDPs",9.1246161,28.3610158,3.5668966319157,"Poorest","rms"
277,"2024-01-22","IDPs",9.1243274,28.3609465,3.5668966319157,"Poorest","rms"
278,"2024-01-22","IDPs",9.1240653,28.3608317,3.5668966319157,"Poorest","rms"
279,"2024-01-22","IDPs",9.1241361,28.3604159,3.5668966319157,"Poorest","rms"
280,"2024-01-23","IDPs",9.1233604,28.3607355,3.16143176052124,"Poorest","rms"
281,"2024-01-23","IDPs",9.1236537,28.3606564,14.2037877168609,"Second","rms"
282,"2023-12-08","IDPs",6.0504269,31.5021006,47.9421581953342,"Richest","rms"
283,"2023-12-08","IDPs",6.0520119,31.5023091,14.4524937709312,"Second","rms"
289,"2023-12-04","IDPs",9.2698427,29.8084161,66.1654484385252,"Richest","rms"
290,"2023-12-04","IDPs",9.2700107,29.8080619,17.1696399077374,"Middle","rms"
291,"2023-12-04","IDPs",9.269845,29.8081131,29.5917503111835,"Fourth","rms"
294,"2023-12-04","IDPs",9.2703888,29.8078397,31.8813300804908,"Fourth","rms"
295,"2023-12-04","IDPs",9.2705397,29.8079732,38.6744735949452,"Richest","rms"
296,"2023-12-04","IDPs",9.2702868,29.8077957,38.6744735949452,"Richest","rms"
304,"2023-12-04","IDPs",9.2708939,29.8080885,33.3307415365812,"Richest","rms"
305,"2023-12-04","IDPs",9.2707864,29.8080084,17.1696399077374,"Middle","rms"
306,"2023-12-04","IDPs",9.270729,29.8077137,20.1516705558157,"Middle","rms"
307,"2023-12-04","IDPs",9.270529,29.8076852,13.7132615886098,"Second","rms"
308,"2023-12-04","IDPs",9.2710286,29.8081822,21.2539261971857,"Middle","rms"
309,"2023-12-04","IDPs",9.2709041,29.8080578,13.7132615886098,"Second","rms"
310,"2023-12-04","IDPs",4.8870757,31.5697697,20.2966901747739,"Middle","rms"
311,"2023-12-04","IDPs",4.8871421,31.5698085,36.3406267210036,"Richest","rms"
312,"2023-12-04","IDPs",4.8867615,31.5695826,26.1249305035188,"Fourth","rms"
313,"2023-12-04","IDPs",4.8869921,31.5694588,26.3550913265168,"Fourth","rms"
